Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,404.029999,407.220001,404.029999,404.970001,309.366425,4200
2017-11-13,404.309998,408.040009,404.309998,406.730011,310.710907,4200
2017-11-14,405.799988,410.010010,404.209991,410.010010,313.216522,5000
2017-11-15,408.679993,412.290009,408.679993,411.480011,314.339508,11300
2017-11-16,411.519989,421.399994,411.519989,420.100006,320.924591,7500
2017-11-17,417.809998,418.989990,417.570007,417.570007,318.991852,2400
2017-11-20,415.890015,418.220001,415.619995,417.019989,318.571655,4100
2017-11-21,418.609985,421.010010,417.089996,418.760010,319.900879,6700
2017-11-22,419.540009,419.540009,419.540009,419.540009,320.496796,1100
2017-11-24,408.239990,422.000000,408.239990,422.000000,322.375946,1400
2017-11-27,421.040009,424.920013,419.850006,419.850006,320.733582,4300
2017-11-28,419.769989,421.320007,418.649994,420.570007,321.283630,4100
2017-11-29,420.000000,426.989990,420.000000,425.850006,325.317108,12700
2017-11-30,421.989990,423.910004,419.149994,422.980011,323.124695,12000
2017-12-01,423.839996,423.839996,416.600006,419.779999,320.680054,5800
2017-12-04,421.720001,421.720001,412.790009,413.739990,316.065979,12600
2017-12-05,414.440002,414.440002,404.100006,405.309998,309.626099,8700
2017-12-06,406.730011,406.730011,401.589996,401.589996,306.784332,5100
2017-12-07,402.489990,406.000000,394.049988,394.299988,301.215302,7700
2017-12-08,394.529999,395.010010,393.000000,393.000000,300.222137,5200
2017-12-11,392.220001,396.260010,392.220001,396.250000,302.704987,4700
2017-12-12,400.000000,400.000000,397.670013,398.140015,304.148834,4300
2017-12-13,400.970001,401.500000,397.790009,398.339996,304.301575,4800
2017-12-14,407.190002,407.190002,395.700012,395.700012,302.284790,7300
2017-12-15,396.160004,401.790009,396.160004,397.690002,303.804932,15700
2017-12-18,399.549988,405.089996,399.390015,399.549988,305.225830,11100
2017-12-19,400.299988,400.299988,395.380005,395.380005,302.040375,6200
2017-12-20,396.100006,400.000000,394.350006,394.350006,301.253510,4400
2017-12-21,394.100006,396.660004,389.809998,392.619995,299.931946,11300
2017-12-22,393.410004,397.670013,392.529999,393.760010,300.802826,5200
2017-12-26,393.250000,396.630005,393.250000,393.250000,300.413269,1900
2017-12-27,394.019989,394.589996,393.250000,393.250000,300.413269,3300
2017-12-28,393.250000,397.880005,388.600006,397.399994,303.583496,18300
